EM.CNPJ;EM.RAZAO_SOCIAL;EM.NATUREZA_JURIDICA;EM.QUALIFICACAO_RESP;EM.CAPITAL_SOCIAL;EM.PORTE;EM.ENTE_FEDERATIVO
06873592;ELEICOES 2004 CF - SANTO ANTONIO DO ITAMBE - MG - COMITE FINANC MUN UNICO - PT;3999;16;0,00;05;
06873953;ELEICOES 2004 CF - PRESIDENTE JUSCELINO - MA - COMITE FINANC MUN UNICO - PSDB;3999;16;0,00;05;
06873994;ELEICOES 2004 CF - BOA VISTA DO GURUPI - MA - COMITE FINANC MUN P/VEREADOR - PHS;3999;16;0,00;05;
06875112;ELEICOES 2004 CF - BARRA DE GUABIRABA - PE - COMITE FINANC MUN UNICO - PFL;3999;16;0,00;05;
06875384;ELEICOES 2004 CF - GUARABIRA - PB - COMITE FINANC MUN UNICO - PL;3999;16;0,00;05;
06875404;ELEICOES 2004 CF - TUBARAO - SC - COMITE FINANC MUN P/VEREADOR - PC DO B;3999;16;0,00;05;
06875597;ELEICOES 2004 CF - MIRADOR - MA - COMITE FINANC MUN UNICO - PV;3999;16;0,00;05;
06875657;ELEICOES 2004 CF - JAPERI - RJ - COMITE FINANC MUN P/VEREADOR - PRONA;3999;16;0,00;05;
06875669;ELEICOES 2004 CF - CAMOCIM - CE - COMITE FINANC MUN UNICO - PT;3999;16;0,00;05;
06875704;ELEICOES 2004 CF - BREJO GRANDE DO ARAGUAIA - PA - COMITE FINANC MUN P/PREFEITO - PMDB;3999;16;0,00;05;
06876028;ELEICOES 2004 CF - SAO BENTO DO TOCANTINS - TO - COMITE FINANC MUN P/VEREADOR - PT;3999;16;0,00;05;
06876102;ELEICOES 2004 CF - FORMOSO DO ARAGUAIA - TO - COMITE FINANC MUN P/VEREADOR - PSDC;3999;16;0,00;05;
06876386;ELEICOES 2004 CF - LAGOA DA CONFUSAO - TO - COMITE FINANC MUN UNICO - PRTB;3999;16;0,00;05;
06876728;ELEICOES 2004 CF - MONTEIROPOLIS - AL - COMITE FINANC MUN UNICO - PRP;3999;16;0,00;05;
06876789;ASSOCIACAO DOS MORADORES DO CONJUNTO 03, DA QI 15 SHIS;3999;16;0,00;05;
06877045;M.A. CLEMENTE CORRETORA DE SEGUROS DE VIDA LTDA.;2062;49;0,00;01;
06877147;ELISANGELA BERNARDI CORRETORA DE SEGUROS DE VIDA LTDA;2240;49;0,00;01;
06877316;CONCRESULCA METAL SUL CATARINENSE LTDA;2062;49;0,00;01;
06877498;R.M.A. IMPRESSAO DIGITAL LTDA;2062;49;0,00;01;
06877790;ASSOCIACAO NOVA ESPERANCA DO REASSENTAMENTO DE ITACAMBIRA;3999;16;0,00;05;
06877957;WEDO CONSULTORIA EM INFORMATICA LTDA;2062;49;0,00;01;
06878175;TEIXEIRA E SILVA MANUTENCAO PREDIAL LTDA;2062;49;600000,00;01;
06878285;REPLICAR COMERCIO DE VEICULOS LTDA;2062;49;0,00;01;
06878364;ATLANTIDA CONSULTORIA E SERVICOS LTDA;2062;49;0,00;01;
06879171;MKR MOVEIS LTDA;2062;49;0,00;01;
06879192;S.M. COBRANCA EXTRAJUDICIAL LTDA;2062;49;0,00;01;
06879308;CTN AGROINDUSTRIA E PARTICIPACOES S/A;2054;10;0,00;05;
06879836;TELHEIRO RESTAURANTE LTDA;2062;49;100000,00;05;
06879859;G& S COMERCIO E BENEFICIAMENTO DE PLASTICOS LTDA;2062;49;5000,00;01;
06879895;KINKAS AUTO LOCADORA LTDA;2062;49;10000,00;01;
06880370;DAUMETAIS INDUSTRIA DE CONFORMACAO LTDA;2062;49;5000,00;01;
06880903;GLADIADORES DO REI SEGURANCA E VIGILANCIA LTDA;2062;49;0,00;05;
06880972;UTM - CONSTRUCAO E TOPOGRAFIA LTDA;2062;49;0,00;05;
06881011;RA INSTITUTO DE BELEZA E COSMETICOS LTDA;2062;49;0,00;05;
06881113;M & R ECOLOG ENGENHARIA LTDA;2062;49;500000,00;01;
06881276;RED STAR METAIS LTDA;2062;49;15000,00;01;
06881324;NATALIE COSTA ASSESSORIA CONTABIL LTDA;2240;49;0,00;01;
06881484;ELO HOLDINGS LTDA;2062;49;0,00;05;
06881645;U-BOAT CONSULTORIA EM INFORMATICA LTDA.;2240;49;0,00;01;
06881758;CRISTINA ZUCCHELLI COMERCIO E REPRESENTACOES LTDA;2062;49;0,00;01;
06881801;FERREIRA & QUEIROZ EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;20000,00;05;
06881818;ELEICOES 2004 COMITE FINANCEIRO TRAIRI-CE - VEREADOR - PRP;3999;16;0,00;05;
06881839;ASVS SERVICOS GERAIS DE ESCRITORIO LTDA;2240;49;0,00;01;
06882231;COMERCIAL COLOMBAROLLI - DISTRIBUIDORA DE ALIMENTOS LTDA;2062;49;0,00;01;
06882894;ELEICOES 2004 CF - BAYEUX - PB - COMITE FINANC MUN UNICO - PTB;3999;16;0,00;05;
06883147;ELEICOES 2004 CF - RIBEIRA DO PIAUI - PI - COMITE FINANC MUN UNICO - PC DO B;3999;16;0,00;05;
06883214;ELEICOES 2004 CF - ITAPARICA - BA - COMITE FINANC MUN P/VEREADOR - PP;3999;16;0,00;05;
06883289;ELEICOES 2004 CF - PARAISO DO TOCANTINS - TO - COMITE FINANC MUN P/VEREADOR - PDT;3999;16;0,00;05;
06883387;ELEICOES 2004 CF - BARAUNA - PB - COMITE FINANC MUN UNICO - PSDB;3999;16;0,00;05;
06883447;ELEICOES 2004 CF - CHAPADA DOS GUIMARAES - MT - COMITE FINANC MUN P/VEREADOR - PV;3999;16;0,00;05;
06883485;ELEICOES 2004 CF - PEDRA LAVRADA - PB - COMITE FINANC MUN P/VEREADOR - PT;3999;16;0,00;05;
06884348;ELEICOES 2004 CF - COREMAS - PB - COMITE FINANC MUN P/VEREADOR - PMN;3999;16;0,00;05;
06884484;ELEICOES 2004 CF - CATUTI - MG - COMITE FINANC MUN UNICO - PPS;3999;16;0,00;05;
06885077;PERSONAL RENT A CAR LTDA;2062;49;115000,00;03;
06885119;WARM PARTICIPACOES LTDA;2062;49;1000,00;01;
06885616;LAR ASSESSORIA LTDA;2062;49;0,00;01;
06886551;ALGODAO DOCE COMERCIO VAREJISTA DE ROUPAS LTDA;2062;49;0,00;01;
06886640;BOMSUCESSO PARTICIPACOES LTDA;2062;05;0,00;05;
06886730;SPACO FREE ESTACIONAMENTO LTDA;2062;49;0,00;01;
06886960;THORUS SCISOFT TECNOLOGIA LTDA;2062;49;25000,00;01;
06887234;ASSOCIACAO DOS MORADORES DO DISTRITO DE ANA TERRA;3999;16;0,00;05;
06887559;MINIMERCADO IRMAOS M.J. LTDA;2062;49;0,00;01;
06887885;BAZAR E PAPELARIA ESTRELA DA MANHA LTDA;2062;49;0,00;05;
06888680;LARSONIA SERVICOS DE VIAGENS E TURISMO LTDA;2062;49;30000,00;05;
06889044;J.F.S.M. REPRESENTACOES DE COSMETICOS LTDA;2062;49;0,00;01;
06889855;VIDA URGENTE- SEVICOS DE REMOCOES LTDA;2062;49;0,00;01;
06890182;VALINOTO CAMARGO E CIA LTDA;2062;49;0,00;01;
06890499;COMERCIO DE PECAS E ACESSORIOS R.S. LTDA;2062;49;70000,00;03;
06892324;ELEICOES 2004 CF - ARAMARI - BA - COMITE FINANC MUN P/VEREADOR - PT DO B;3999;16;0,00;05;
06892458;ELEICOES 2004 CF - BURITIZEIRO - MG - COMITE FINANC MUN P/VEREADOR - PSDB;3999;16;0,00;05;
06892480;DENTALMED SAUDE INTEGRADA LTDA;2062;49;0,00;01;
06892826;ELEICOES 2004 CF - IRAUCUBA - CE - COMITE FINANC MUN UNICO - PRP;3999;16;0,00;05;
06893920;SEVLIMP EQUIPAMENTOS LTDA;2062;49;100000,00;01;
06894417;ELEICOES 2004 CF - ITANHANGA - MT - COMITE FINANC MUN UNICO - PTB;3999;16;0,00;05;
06894460;SOUSA BAHIA UTILIDADES DO LAR LTDA;2062;49;40000,00;01;
06894853;CASA DAS ENGRENAGENS LTDA;2062;49;0,00;01;
06895004;FISCHER VALENTE INDUSTRIA E COMERCIO DE FREIOS LTDA;2062;49;100000,00;03;
06895281;IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE DOS MILAGRES;3999;16;0,00;05;
06898151;ELEICOES 2004 CF - COLATINA - ES - COMITE FINANC MUN P/VEREADOR - PV;3999;16;0,00;05;
06898245;CENTER CARNES JD. SAO MANOEL LTDA;2062;49;96000,00;01;
06898664;ELEICOES 2004 CF - MOGI DAS CRUZES - SP - COMITE FINANC MUN P/VEREADOR - PSC;3999;16;0,00;05;
06898687;ELEICOES 2004 CF - DIVINO DE SAO LOURENCO - ES - COMITE FINANC MUN P/VEREADOR - PAN;3999;16;0,00;05;
06898707;ELEICOES 2004 CF - SETE BARRAS - SP - COMITE FINANC MUN P/VEREADOR - PDT;3999;16;0,00;05;
06899265;ELEICOES 2004 CF - MIRINZAL - MA - COMITE FINANC MUN P/VEREADOR - PC DO B;3999;16;0,00;05;
06899704;ELEICOES 2004 CF - JURIPIRANGA - PB - COMITE FINANC MUN UNICO - PP;3999;16;0,00;05;
06899936;ELEICOES 2004 CF - DOIS RIACHOS - AL - COMITE FINANC MUN P/VEREADOR - PSDB;3999;16;0,00;05;
06900094;ELEICOES 2004 CF - ITAPIRANGA - AM - COMITE FINANC MUN UNICO - PV;3999;16;0,00;05;
06900154;ELEICOES 2004 CF - ITAOCARA - RJ - COMITE FINANC MUN UNICO - PFL;3999;16;0,00;05;
06900552;DIGESSO-COMERCIO DE GESSO LTDA;2062;49;60000,00;01;
06900576;AMAS COMERCIO DE MATERIAL DE CONSTRUCAO LTDA;2062;49;32000,00;01;
06900704;ENDURANCE RENT A CAR LOCADORA DE VEICULOS LTDA;2062;49;20000,00;01;
06901438;JANFALIDO REFEICOES E LANCHES LTDA;2062;49;0,00;01;
06905229;ELEICOES 2004 CF - PRESIDENTE DUTRA - MA - COMITE FINANC MUN P/VEREADOR - PL;3999;16;0,00;05;
06905772;CLUBE ESPORTIVO VASCO DA GAMA;3999;16;0,00;05;
06905827;CARLO COMUNICACAO E CULTURA LTDA;2062;49;0,00;01;
06905906;SELANO COMERCIAL DE ALIMENTOS LTDA;2062;49;0,00;01;
06905927;MAKE COMERCIO DE EQUIPAMENTOS PARA INFORMATICA E GAMES LTDA;2062;49;0,00;05;
06906241;GRUPO TECNICO DE ENGENHARIA CIVIL LTDA;2240;49;3000,00;01;
06906569;BAR E RESTAURANTE COISA & TAL LTDA;2062;49;20000,00;01;
06906828;JVS COMERCIO DE PECAS E SERVICOS MECANICOS LTDA;2062;49;0,00;05;
06906948;SONO COLCHOES LTDA;2062;49;0,00;01;
06907371;DATI - DESENVOLVIMENTO, ADMINISTRACAO, TREINAMENTO E IMPLANTACAO LTDA.;2240;49;0,00;01;
06907783;STRACERI CORRETORA DE SEGUROS E SOLUCOES FINANCEIRAS LTDA;2062;49;10000,00;05;
06909602;ELEICOES 2004 CF - TUFILANDIA - MA - COMITE FINANC MUN UNICO - PRTB;3999;16;0,00;05;
06909710;ELEICOES 2004 CF - SAO FRANCISCO - PB - COMITE FINANC MUN UNICO - PSDB;3999;16;0,00;05;
06909856;ELEICOES 2004 CF - RIBEIRA DO PIAUI - PI - COMITE FINANC MUN UNICO - PSB;3999;16;0,00;05;
06909969;ELEICOES 2004 CF - VERTENTE DO LERIO - PE - COMITE FINANC MUN UNICO - PP;3999;16;0,00;05;
06910312;KES SERVICOS, PROJETOS, MONTAGENS, MANUTENCAO E OBRAS INDUSTRIAIS LTDA;2062;49;0,00;01;
06910711;IDEAL PORC SUINOCULTURA LTDA;2062;49;0,00;01;
07547423;PIMENTEL E OLIVEIRA MATERIAIS ELETRICOS LTDA;2062;49;0,00;01;
07566461;SULVELOX INFORMATICA LTDA;2062;49;200000,00;01;
07692308;LANCHONETE - CAFE FIORE LTDA;2062;49;2000,00;01;
07724616;CONSTRUMAR DE UNAMAR MATERIAIS DE CONSTRUCAO E SERVICOS LTDA.;2062;49;50000,00;01;
07736034;RDE COMERCIO DE GENEROS ALIMENTICIOS LTDA;2062;49;9000,00;01;
07737235;TRATORANA TERRAPLANAGEM LTDA;2062;49;150000,00;01;
07800578;SWPR- CHOPERIA COMERCIAL LTDA;2062;49;50000,00;05;
07843803;ALPHA ELEVADORES LTDA;2062;49;15000,00;05;
07855682;LADEI COMERCIO DE ROUPAS E ACESSORIOS LTDA;2062;49;10000,00;01;
07932980;FREE MANUTENCAO E CONSERTO DE APARELHOS ELETRONICOS LTDA;2062;49;10000,00;01;
07964575;G7 CONSTRUTORA LTDA;2062;49;220000,00;05;
07999794;CW E FILHOS - TRANSPORTE RODOVIARIO LTDA;2062;49;20000,00;01;
08018799;RIDS RJ - CONFECCOES DE ROUPAS E ACESSORIOS LTDA.;2062;49;20000,00;01;
20430286;CONFEL COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;2062;49;0,00;01;
20435764;MONTEIRO REPRESENTACOES LTDA;2240;49;5000,00;01;
20436523;HOSP DE EMERGENCIA DA SOCIEDADE DE SAO VICENTE DE PAULO;3999;16;0,00;05;
20440384;GONCALVES & RIOS LTDA;2062;49;0,00;01;
20447645;REDE JUIZ DE FORA DE RADIODIFUSAO LTDA;2062;05;100000,00;05;
20462156;M.PEREIRA & CIA LTDA;2062;49;20000,00;01;
20466587;FEDERACAO DOS CAPOEIRISTAS DE MINAS GERAIS;3999;16;0,00;05;
20470662;ASSOCIACAO COMUNITARIA PASSAGENSE;3999;16;0,00;05;
20472791;CRECHE NOSSA SENHORA AUXILIADORA DO BAIRRO SANTA MARIA;3999;16;0,00;05;
20517637;BAZAR E RESTAURANTE CANTAO LTDA;2062;49;0,00;01;
20529756;SOCIEDADE RECREATIVA LE PINHEIRO DE MATO VERDE;3999;16;0,00;05;
20535449;CAFEEIRA ANDREIA LTDA;2062;49;0,00;05;
20540662;CASA ESPIRITA ANDRE LUIZ;3999;16;0,00;05;
20542320;BRANT E SANTOS LTDA;2062;49;0,00;01;
20570081;SERRA CLUBE DE DIAMANTINA;3999;16;0,00;05;
20572335;FUNDACAO AGROPECUARIA DE CORINTO FUNAPEC;3069;16;0,00;05;
20582276;GF TINTAS PECAS E ACESSORIOS LTDA;2062;49;0,00;01;
20583282;AGREMIACAO ESPIRITA PARACATUENSE;3220;16;0,00;05;
20583944;ASSOCIACAO COMUNITARIA DO BAIRRO JARDIM SAO GERALDO;3999;16;0,00;05;
20602579;DESTILARIA CURVELO LTDA;2062;49;500000,00;03;
20626180;ALFATELE LTDA;2062;49;0,00;01;
20664264;CONGREGACAO CRISTA NO BRASIL;3220;05;0,00;05;
20675419;O MUNDO DOS OCULOS LTDA;2062;49;7840,32;01;
20702940;GRAFICA FERREIRA BRITO LTDA;2062;49;0,00;01;
20705968;GRUPO DAS SAMARITANAS;3999;16;0,00;05;
20724043;ITAPOA DIST CIM MATERIAIS P CONSTRUCAO LTDA;2062;49;0,00;05;
20726295;SOCIEDADE ESPORTIVA PARANAIBANA;3999;16;0,00;05;
20733747;CLUBE DE CACA E PESCA MONTE ALEGRE DE MINAS;3999;16;0,00;05;
20792016;CONFECCOES CANUTO & SOUZA LTDA;2062;49;0,00;05;
20811295;JIUGRAFICA EIRELI;2305;65;100000,00;01;
20815833;DROGARIA DA PRACA VALDINELLY LTDA.;2062;49;0,00;05;
20837886;J B PECAS LTDA;2062;49;0,00;01;
20844528;MANHUACU CORRETORA DE SEGUROS LTDA;2240;49;0,00;01;
38056776;WEGA EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;200000,00;03;
38059036;WING ASSESSORIA E CONSULTORIA LTDA;2062;49;0,00;01;
38073706;ASTRA BRASILIA EMPRESA DE DESINSETIZACAO LTDA;2062;49;50000,00;03;
38127940;BOINVEST AMBIENTAL S/A;2054;16;4545454,56;05;
38139275;UNI-REDES CONSTRUTORA LTDA;2062;49;300000,00;01;
38458600;BARTONELLI COMUNICACAO LTDA;2062;49;5000,00;05;
38466272;RECOBRA REPRESENTANTE DE COBRANCAS LTDA;2062;49;1500,00;01;
38466827;TEIXEIRA VIANA & CIA LTDA;2062;49;0,00;01;
38474441;OS REIS DA EMPADA LTDA;2062;49;5500,00;01;
38483400;HOTTMA MERCEARIA LTDA;2062;49;0,00;01;
38515433;IPATINGA FRENTE INTERPARTIDARIA DESENV ECON E SOCIAL;3999;16;0,00;05;
38516928;CAIXA ESCOLAR CRESER-APAE TIMOTEO;3999;16;0,00;05;
38518155;TRANSPORTADORA GRACIANO LTDA;2240;49;0,00;01;
38522751;SOCIEDADE CURVELANA DE EDUCACAO E CULTURA LTDA;2062;49;0,00;05;
38525689;SKILL INFORMATICA LTDA.;2062;49;0,00;01;
38527651;SANTINHO - INDUSTRIA E COMERCIO LIMITADA;2062;49;0,00;01;
38561601;LOHNER & ASSUNCAO LTDA;2062;49;0,00;01;
38566386;SERRARIA CARDOSO OLHOS DAGUA LTDA;2062;49;30000,00;01;
38588372;ZIMEX BRASIL REPRESENTACOES COMERCIO IMPORTACAO E EXPORTACAO LTDA;2062;49;300000,00;05;
38601894;OSVALDO VEICULOS LTDA;2062;49;0,00;01;
38638151;COMERCIAL PINHEIRO DE MONTES CLAROS LTDA;2062;49;0,00;01;
38641999;OVER NIGHT MODA INTIMA LTDA;2062;49;20000,00;01;
38643565;GLADYS MAURICIO E CIA LTDA;2062;49;10000,00;01;
38660098;KWALTRAN NEGOCIOS IMOBILIARIOS E EMPREENDIMENTOS LTDA;2062;49;40000,00;01;
38683512;COMERCIAL NERFI LTDA;2062;49;0,00;01;
38684767;INVESTIMOVEIS ENGENHARIA E EMPREENDIMENTOS IMOBILIARIOS LTDA;2062;49;105212,00;01;
38689394;VESTRO CONFECCOES LTDA;2062;49;0,00;01;
38700506;GOMES & SILVA PEDRAS E MATERIAIS PARA CONSTRUCAO LTDA;2062;49;40,00;01;
38712378;REDIL ENGENHARIA ELETRICA COMERCIO E INDUSTRIA LTDA;2062;49;0,00;05;
38720546;MECANICA SANTA CRUZ LTDA;2062;49;5000,00;05;
38723409;TRANSPORTES MILMAR LTDA;2062;49;0,00;01;
38735312;BCMN-ASSESSORIA LINGUISTICA LTDA;2062;49;0,00;01;
38739454;NATAN ROZENBAUM ARQUITETURA E URBANISMO LTDA;2240;49;10000,00;01;
38771929;ALGE COMERCIO E REPRESENTACAO LTDA;2062;49;100,00;01;
