EM.CNPJ;EM.RAZAO_SOCIAL;EM.NATUREZA_JURIDICA;EM.QUALIFICACAO_RESP;EM.CAPITAL_SOCIAL;EM.PORTE;EM.ENTE_FEDERATIVO
02938248;RENEGOCIACAO RECUPERACAO DE ATIVOS LTDA.;2062;49;0,00;01;
02938698;MINI MERCADO SUPERBEM LTDA;2062;49;0,00;03;
02939233;MULTART COMUNICACAO LTDA.;2062;49;0,00;05;
02939991;ASSOCIACAO DE PAIS E PROF.DA ESC.MUN. MULTI-SERIADA BOHEMUNDO ALVARES AFONSO;3999;16;0,00;05;
02940554;ADNV SERVICOS ADMINISTRATIVOS LTDA;2062;49;30000,00;01;
02940651;AFFAL IMPORTACAO E COMERCIO LTDA;2062;49;100000,00;01;
02941304;VIDA NOVA EMPREITEIRA E CONSTRUTORA DE OBRAS LTDA;2062;49;0,00;05;
02941404;RADIO COMUNITARIA PLANETA FM;3999;16;0,00;05;
02941859;AUTO LAVAGEM S. M. LTDA;2062;49;0,00;05;
02942954;BALOES COM ARTE LTDA;2062;49;0,00;05;
02943270;QUEBRA MAR PNEUS LTDA;2062;49;0,00;01;
02943813;CENTRO EDUCACIONAL CASA DA ABELINHA S/C LTDA;2240;49;0,00;01;
02944029;J.P.X COMBUSTIVEIS E CONVENIENCIAS - BARRA LTDA;2062;49;500000,00;05;
02944110;A. S. L. R. - CONSTRUCOES E SERVICOS LTDA;2062;49;0,00;01;
02944297;OCTO - ORGANIZACAO CONTABIL DO TOCANTINS LTDA;2062;49;100000,00;01;
02944998;CENTRO FORMADOR EM TECNICO E AUXILIAR DE ENFERMAGEM SANTA TEREZINHA S/C LTDA.;2240;49;0,00;01;
02945085;JERRI EMPLACAMENTOS LTDA;2062;49;120000,00;01;
02945399;BARRETO SERVICOS S/C;2240;28;0,00;05;
02945990;UNIPSI - COOPERATIVA DE PROFISSIONAIS DA AREA DE PSICOLOGIA;2143;16;0,00;05;
02946297;FRANCISDORIO REPRESENTACOES LTDA;2062;49;0,00;01;
02946456;IMEXPORT DO BRASIL LTDA;2062;49;30000,00;01;
02947888;TAS- TECNOAIR SYSTEM DO BRASIL LTDA;2062;49;0,00;01;
02948749;COOPER EVOLUTION SOCIEDADE COOPERATIVA DE TRABALHO;2143;16;0,00;05;
02948866;TECHJET EQUIPAMENTOS E SUPRIMENTOS PARA INFORMATICA LTDA;2062;49;0,00;05;
02949127;EXPRESSO CACAMBAS LTDA;2062;49;0,00;05;
02949605;JUSSARA DA COSTA ALVES & CIA LTDA;2062;49;0,00;01;
02950299;PRO-HOUSE EDICAO DE LIVROS LTDA;2240;49;50000,00;01;
02950330;LOTERIAS MINUTTI LTDA;2062;49;0,00;05;
02952201;MACHADO & TREVAS COMERCIO E MANUTENCAO DE EQUIPAMENTOS LTDA;2062;49;0,00;05;
02952352;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA MUNICIPAL DE RIBEIRAO PRETO-AAFIRP;3999;16;0,00;05;
02952668;TERRAPLASTE TERRAPLANAGEM E VENDA DE PLASTICOS LTDA;2062;49;100000,00;01;
02952936;CASEL DE ITABORAI CONSERVACAO, ALIMENTACAO, SERVC E EVENTOS LTDA;2062;49;600000,00;03;
02953281;IGREJA EVANGELICA PENTECOSTAL  ASSEMBLEIA DE DEUS EL SHADAI 2 GERACAO;3999;16;0,00;05;
02953949;SISTEMA GENESE DE ENSINO LTDA;2062;49;0,00;05;
02954305;BAR E LANCHES RECANTO DO FAMILIA LTDA;2062;49;0,00;01;
02955541;MIRAMAX COMERCIO DE CONFECCOES LTDA;2062;49;0,00;01;
02955623;IGREJA BATISTA LIBERDADE;3999;16;0,00;05;
02956165;RESTAURANTE SCHUNGKING DE COMIDA CHINESA LTDA;2062;49;25000,00;01;
02956843;EXCELENCIA SERVICOS E TRANSPORTES LTDA;2062;49;267000,00;01;
02957511;ROHDE & SCHWARZ DO BRASIL LTDA.;2062;05;37999948,00;05;
02957756;REAL POCOS ARTESIANOS LTDA;2062;49;0,00;01;
02958002;V&F ADMINISTRADORA E CORRETORA DE SEGUROS LTDA;2062;49;0,00;01;
02958656;PADARIA E CONFEITARIA TONIMAR LTDA;2240;49;80000,00;01;
02959438;ALFA-TUR DE RESENDE TRANSPORTE, TURISMO E FRETAMENTO LTDA;2062;49;350000,00;01;
02960386;TELHAO DO ABC COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA;2062;49;0,00;05;
02960608;ASSOCIACAO MARAGOJIPE DE CAPOEIRA;3999;16;0,00;05;
02960893;CASA DE PAES GOSTO DO TRIGO LTDA;2062;49;0,00;01;
02961047;MILLANINE REPRESENTACOES LTDA;2062;49;0,00;05;
